Source,Target
浓,蓉
晖,衣
留,呦
群,云
来,开
船,蝉
初,徐
心,寻
间,山
虚,鱼
诗,迟
成,轻
殊,胡
阿,过
张,堂
群,军
名,卿
多,何
中,同
悬,怜
桥,霄
清,莺
支,池
花,蛇
开,梅
泉,绵
香,凉
池,䍦
云,文
何,多
书,庐
移,儿
时,诗
长,枪
年,泉
思,诗
花,鸦
餐,寒
毛,高
仪,枝
添,尖
迟,时
头,愁
过,多
娱,须
夫,虞
衰,悲
星,灵
能,腾
遥,飘
腰,遥
翁,风
看,安
离,移
深,心
繁,论
波,多
回,灰
春,人
怜,天
年,天
清,生
群,醺
稠,楼
亲,神
除,居
寥,朝
壕,桃
过,多
台,开
齐,迷
阴,心
荣,轻
卑,为
红,匆
深,琳
人,春
间,山
同,东
繁,魂
居,疏
苓,冥
存,村
期,诗
州,由
围,归
游,愁
宫,空
沙,家
时,悲
强,长
归,微
间,关
回,来
亭,青
繁,源
低,泥
泉,传
家,沙
天,传
间,山
群,云
光,墙
归,辉
难,乾
知,儿
声,明
然,莲
门,魂
风,农
多,河
高,桃
非,归
花,笳
明,清
安,端
稀,归
砧,心
人,亲
飞,衣
何,波
持,疑
疏,除
残,寒
安,残
衣,归
行,城
多,何
城,平
何,多
鸥,游
讹,波
餐,难
深,心
装,芒
深,音
伦,尘
原,尊
天,烟
阴,深
前,眠
迷,栖
期,迟
坡,多
悬,拳
秋,求
悬,船
梅,来
家,花
新,人
寥,朝
旁,裳
堂,香
流,洲
来,台
之,丝
劳,皋
低,西
知,池
中,翁
林,深
书,居
黄,塘
公,穷
寒,乾
兵,城
弓,中
戈,多
齐,西
春,人
轻,生
斜,沙
清,成
晨,人
生,声
痕,门
时,迟
行,明
关,山
迟,时
幽,舟
迟,梨
晡,须
飞,晖
青,亭
柯,多
山,颜
君,云
钱,悬
幽,游
时,私
巢,梢
流,浮
沾,帘
飘,条
坤,门
劳,曹
哉,来
人,尘
居,蔬
家,斜
堂,场
来,才
归,辉
难,看
时,迟
炉,图
云,闻
床,茫
人,尘
身,神
船,边
偏,传
程,明
多,和
毛,号
行,明
啼,低
家,沙
赊,花
晴,清
雄,东
情,行
峰,容
翁,同
艰,山
君,分
传,边
哀,才
州,流
明,声
风,中
斜,华
间,还
迷,栖
园,存
辰,春
筵,边
平,轻
头,游
深,阴
堂,梁
门,翻
园,繁
船,前
床,行
中,风
天,巅
归,飞
壶,途
星,萤
游,留
方,狂
光,凉
隅,无
横,情
时,旗
机,围
难,鞍
多,歌
年,天
狼,望
均,春
凋,朝
疑,迟
行,情
荷,多
城,行
归,机
时,枝
边,天
秋,州
围,稀
墙,长
归,扉
兵,明
长,茫
来,回
开,回
波,罗
流,舟
芳,鸯
林,襟
情,轻
轻,荆
波,多
堂,凉
春,身
隅,途
然,前
寥,朝
乡,长
行,声
游,留
涛,高
云,纷
郎,长
坟,云
年,川
迷,嘶
无,呼
寒,端
青,泠
边,船
稀,辉
鹅,多
难,乾
坊,忙
休,求
池,枝
瞻,帘
墙,凉
堤,迷
深,林
城,声
深,心
年,泉
红,风
苔,材
生,荣
京,生
奇,为
今,吟
亡,郎
欢,滩
斜,蛇
根,门
舟,流
强,长
消,遥
门,尊
临,心
山,间
州,流
枝,随
关,山
歌,波
多,歌
庄,霜
齐,啼
中,丛
分,云
城,清
娟,悬
门,翻
微,稀
头,楼
城,生
频,春
亭,青
要,朝
昏,门
虚,疏
盐,添
还,山
城,名
圭,梯
期,时
君,群
青,亭
沙,涯
郎,行
园,繁
黄,香
虚,墟
违,归
长,光
红,风
群,闻
家,花
香,裳
林,深
齐,泥
摧,来
悬,天
家,花
东,同
溪,畦
川,泉
间,山
间,山
新,匀
贫,人
骑,池
身,新
功,童
门,豚
墙,王
边,天
长,航
楼,游
头,楼
侵,深
然,钱
蛮,山
林,心
门,根
风,宫
移,池
人,春
床,长
离,知
前,迁
