id,type
浓,2
晖,1
留,2
群,2
来,2
船,2
初,1
心,1
间,1
虚,1
诗,1
成,2
殊,1
阿,1
张,1
名,2
多,1
中,1
悬,2
桥,2
清,1
支,1
花,1
开,1
泉,2
香,1
池,2
云,2
何,2
书,1
移,2
时,2
长,3
年,2
思,1
餐,1
毛,2
仪,2
添,1
迟,2
头,2
过,4
娱,2
夫,1
衰,1
星,1
能,2
遥,2
腰,1
翁,1
看,4
离,2
深,1
繁,2
波,1
回,2
春,1
怜,2
稠,2
亲,1
除,2
寥,2
壕,2
台,2
齐,2
阴,1
荣,2
卑,1
红,2
人,2
同,2
居,1
苓,2
存,2
期,1
州,1
围,2
游,2
宫,1
沙,1
强,2
归,1
亭,2
低,1
家,1
天,1
光,1
难,2
知,1
声,1
然,2
门,2
风,1
高,1
非,1
明,2
安,1
稀,1
砧,1
飞,1
持,2
疏,1
残,2
衣,1
行,2
城,2
鸥,1
讹,2
装,1
伦,2
原,2
前,2
迷,2
坡,1
秋,1
梅,2
新,1
旁,2
堂,2
流,2
之,1
劳,2
林,2
黄,2
公,1
寒,2
兵,1
弓,1
戈,1
轻,1
斜,2
晨,2
生,1
痕,2
关,1
幽,1
晡,1
青,1
柯,1
山,1
君,1
钱,2
巢,2
沾,1
飘,1
坤,1
哉,1
炉,2
床,2
身,1
偏,1
程,2
啼,2
赊,1
晴,2
雄,2
情,2
峰,1
艰,1
传,2
哀,1
园,2
辰,2
筵,2
平,2
壶,2
方,1
隅,2
横,2
机,1
狼,2
均,1
凋,1
疑,2
荷,2
边,1
墙,2
芳,1
乡,1
涛,1
郎,2
坟,2
无,2
鹅,2
坊,1
休,1
瞻,1
堤,1
苔,2
京,1
奇,2
今,1
亡,2
欢,1
根,1
舟,1
消,1
临,2
枝,1
歌,1
庄,1
分,1
娟,1
微,1
频,2
要,4
昏,1
盐,2
还,2
圭,1
违,2
摧,1
东,1
溪,1
川,1
贫,2
骑,2
功,1
楼,2
侵,1
蛮,2
仙,1
悲,1
儒,2
蹄,2
筹,2
扉,1
梳,1
文,2
雷,2
弦,2
刀,1
丝,1
闻,2
含,2
暄,1
眠,2
辉,1
杯,1
终,1
为,4
鸰,2
场,3
遮,1
江,1
烟,1
畦,2
重,4
辞,2
牵,1
塘,2
岑,2
饶,2
鱼,2
俱,4
三,1
骝,2
琴,2
儿,2
绳,2
车,1
閒,2
层,2
呼,1
纷,1
簪,1
庭,2
臣,2
魂,2
茫,2
戎,2
兼,1
滩,1
真,1
舆,2
垂,2
盆,2
湖,2
