id,type
浓,2
晖,5
留,26
群,12
来,10
船,16
初,6
心,27
间,15
虚,6
诗,4
成,23
殊,7
阿,20
张,22
名,23
多,20
中,1
悬,16
桥,17
清,23
支,4
花,21
开,10
泉,16
香,22
池,4
云,12
何,20
书,6
移,4
时,4
长,22
年,16
思,10
餐,14
毛,19
仪,4
添,29
迟,4
头,26
过,20
娱,7
夫,7
衰,4
星,24
能,25
遥,17
腰,17
翁,1
看,14
离,4
深,27
繁,20
波,20
回,10
春,11
怜,16
稠,26
亲,11
除,6
寥,17
壕,19
台,10
齐,9
阴,27
荣,23
卑,4
红,1
人,11
同,1
居,6
苓,24
存,13
期,4
州,26
围,5
游,26
宫,1
沙,21
强,22
归,5
亭,24
低,8
家,21
天,16
光,22
难,20
知,4
声,23
然,16
门,13
风,1
高,19
非,5
明,23
安,14
稀,5
砧,27
飞,5
持,4
疏,6
残,14
衣,5
行,23
城,23
鸥,26
讹,20
装,22
伦,11
原,13
前,16
迷,8
坡,20
秋,26
梅,10
新,11
旁,22
堂,22
流,26
之,4
劳,19
林,27
黄,22
公,1
寒,14
兵,23
弓,1
戈,20
轻,23
斜,21
晨,11
生,23
痕,13
关,15
幽,26
晡,7
青,24
柯,20
山,15
君,12
钱,16
巢,18
沾,29
飘,17
坤,13
哉,10
炉,7
床,22
身,11
偏,16
程,23
啼,8
赊,21
晴,23
雄,1
情,23
峰,2
艰,15
传,16
哀,10
园,13
辰,11
筵,16
平,23
壶,7
方,22
隅,7
横,23
机,5
狼,22
均,11
凋,17
疑,4
荷,20
边,16
墙,22
芳,22
乡,22
涛,19
郎,22
坟,12
无,7
鹅,20
坊,22
休,26
瞻,29
堤,8
苔,10
京,23
奇,4
今,27
亡,22
欢,14
根,13
舟,26
消,17
临,27
枝,4
歌,20
庄,22
分,12
娟,16
微,5
频,11
要,17
昏,13
盐,29
还,16
圭,8
违,5
摧,10
东,1
溪,8
川,16
贫,11
骑,4
功,1
楼,26
侵,27
蛮,15
仙,16
悲,4
儒,7
蹄,8
筹,26
扉,5
梳,6
文,12
雷,10
弦,16
刀,19
丝,4
闻,12
含,28
暄,13
眠,16
辉,5
杯,10
终,1
为,4
鸰,24
场,22
遮,21
江,3
烟,16
畦,8
重,2
辞,4
牵,16
塘,22
岑,27
饶,17
鱼,6
俱,7
三,28
骝,26
琴,27
儿,8
绳,25
车,21
閒,15
层,25
呼,7
纷,12
簪,28
庭,24
臣,11
魂,13
茫,22
戎,1
兼,29
滩,14
真,11
舆,6
垂,4
盆,13
湖,7
师,4
隈,10
连,16
蒸,25
惊,23
陂,4
森,27
旌,23
朝,17
颜,15
通,1
裳,22
笼,2
滨,16
尘,11
鞍,14
窗,3
郊,18
村,13
华,21
攀,15
凄,8
才,10
旗,4
冥,24
湲,16
宵,17
销,17
贤,16
忧,26
凉,22
浪,22
桃,19
冠,14
钟,2
愁,26
求,26
馀,6
金,27
河,20
招,17
羹,23
藏,22
粱,22
田,16
袍,19
披,4
髯,29
浮,26
酤,7
垆,7
铭,24
冰,25
骄,17
蛾,20
联,16
尧,17
珂,20
空,1
尊,13
形,24
骦,22
西,8
瓜,21
禅,16
驼,20
牢,19
如,6
阑,14
收,26
沈,27
葵,4
萝,20
鞭,16
巾,11
囊,22
曹,19
鼙,8
蓬,1
音,27
宽,14
缨,23
它,20
橙,23
私,4
怡,4
扶,7
听,24
裙,12
庖,18
谋,26
孤,7
秦,11
旋,16
栖,8
嗟,21
龙,2
斑,15
鞞,8
忘,22
凫,7
坛,28
词,4
威,5
裘,26
皇,22
洲,26
苍,22
鼯,7
盘,14
荒,22
吟,27
擎,23
寻,27
穿,16
